"Manufacturer","Manufacturer"
"Manage Items","Manage Items"
"Item Manager","Item Manager"
"Manfacturer Information","Manfacturer Information"
"Admin Name","Admin Name"
"Store Manufacturer Name","Store Manufacturer Name"
"Store","Store"
"Url Key","Url Key"
"Page Title","Page Title"
"Image","Image"
"Delete Image","Delete Image"
"Featured","Featured"
"Status","Status"
"Short Description","Short Description"
"Description","Description"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"





"Manufacturer Catalog","Manufacturer Catalog"
"Featured Manufacturers","Featured Manufacturers"
"All Manufacturers","All Manufacturers"
"Product Catalog","Product Catalog"
